"insee_code";"name";"zip_code";"department_id"
"48129";"ROCLES";"48300";88
"57035";"ASSENONCOURT";"57810";39
"77086";"LA CHAPELLE-GAUTHIER";"77720";17
"49265";"SAINT-AUBIN-DE-LUIGNE";"49190";10
"33506";"SAUVETERRE-DE-GUYENNE";"33540";13
"46220";"PINSAC";"46200";45
"46329";"VAYLATS";"46230";45
"07041";"BOULIEU-LES-ANNONAY";"07100";19
"07310";"SAVAS";"07430";19
"52313";"MAREILLES";"52700";59
"64176";"CASTETBON";"64190";6
"63198";"LOUBEYRAT";"63410";87
"42151";"MORNAND-EN-FOREZ";"42600";3
"63138";"DORAT";"63300";87
"01095";"CHAVANNES-SUR-SURAN";"01250";29
"45188";"LOURY";"45470";67
"53035";"BOUCHAMPS-LES-CRAON";"53800";22
"21253";"ETALANTE";"21510";2
"55352";"MONTPLONNE";"55000";38
"54059";"BELLEAU";"54610";18
"83063";"LA GARDE-FREINET";"83680";83
"19228";"SAINT-PANTALEON-DE-LAPLEAU";"19160";79
"19229";"SAINT-PANTALEON-DE-LARCHE";"19600";79
"46216";"PAYRIGNAC";"46300";45
"89239";"MALAY-LE-GRAND";"89100";16
"38412";"SAINT-LAURENT-DU-PONT";"38380";23
"40080";"CAZERES-SUR-L'ADOUR";"40270";66
"24071";"BUSSIERE-BADIL";"24360";14
"87086";"LINARDS";"87130";55
"49040";"BOUZILLE";"49530";10
"69150";"OUROUX";"69860";25
"13104";"SAUSSET-LES-PINS";"13960";84
"68089";"FELLERING";"68470";47
"06155";"VALLAURIS";"06220";85
"61210";"JOUE-DU-PLAIN";"61150";61
"2B224";"PIETRACORBARA";"20233";75
"55014";"AUBREVILLE";"55120";38
"02308";"FESMY-LE-SART";"02450";42
"21579";"SALIVES";"21580";2
"70390";"NOROY-LE-BOURG";"70000";56
"12211";"SAINT-ANDRE-DE-VEZINES";"12720";49
"48036";"CASSAGNAS";"48400";88
"48162";"SAINT-JULIEN-D'ARPAON";"48400";88
"40309";"SOUPROSSE";"40250";66
"33450";"SAINT-MICHEL-DE-CASTELNAU";"33840";13
"23054";"CHARRON";"23700";11
"31412";"PEGUILHAN";"31350";35
"51062";"BINARVILLE";"51800";20
"33345";"LE PUY";"33580";13
"30106";"DURFORT-ET-SAINT-MARTIN-DE-SOSSENAC";"30170";76
"53078";"COUDRAY";"53200";22
"22138";"MAEL-PESTIVIEN";"22160";28
"47173";"MONCLAR";"47380";69
"68342";"UFFHOLTZ";"68700";47
"50440";"ROUFFIGNY";"50800";43
"50630";"VESSEY";"50170";43
"61260";"LE MENIL-DE-BRIOUZE";"61220";61
"11184";"LAFAGE";"11420";4
"34310";"THEZAN-LES-BEZIERS";"34490";82
"08232";"ILLY";"08200";41
"12268";"SENERGUES";"12320";49
"18089";"EPINEUIL-LE-FLEURIEL";"18360";50
"77147";"LA CROIX-EN-BRIE";"77370";17
"58005";"AMAZY";"58190";68
"51531";"SERMAIZE-LES-BAINS";"51250";20
"58123";"GERMENAY";"58800";68
"27367";"LIEUREY";"27560";40
"49036";"BOUILLE-MENARD";"49520";10
"12064";"LE CAYROL";"12500";49
"55026";"BADONVILLIERS-GERAUVILLIERS";"55130";38
"07007";"ALBOUSSIERE";"07440";19
"89005";"ANCY-LE-FRANC";"89160";16
"40084";"CLERMONT";"40180";66
"44121";"PETIT-AUVERNE";"44670";54
"18271";"VASSELAY";"18110";50
"2B002";"AGHIONE";"20270";75
"70292";"JUSSEY";"70500";56
"48139";"SAINT-BONNET-DE-MONTAUROUX";"48600";88
"87203";"VICQ-SUR-BREUILH";"87260";55
"63298";"LA RENAUDIE";"63930";87
"42208";"SAINT-CHRISTO-EN-JAREZ";"42320";3
"2B153";"MANSO";"20245";75
"78484";"PERDREAUVILLE";"78200";89
"74014";"ARACHES-LA-FRASSE";"74300";24
"61108";"CISAI-SAINT-AUBIN";"61230";61
"72255";"ROUESSE-VASSE";"72140";7
"18224";"SAINT-MARTIN-DES-CHAMPS";"18140";50
"15144";"OMPS";"15290";36
"34151";"MARSILLARGUES";"34590";82
"40184";"MIMIZAN";"40200";66
"12259";"SANVENSA";"12200";49
"08367";"ROCROI";"08230";41
"16070";"CHABANAIS";"16150";26
"58308";"VIGNOL";"58190";68
"58249";"SAINT-LEGER-DE-FOUGERET";"58120";68
"81002";"AIGUEFONDE";"81200";63
"81013";"ANDOUQUE";"81350";63
"19182";"SAINT-AULAIRE";"19130";79
"15070";"FONTANGES";"15140";36
"73013";"ALBIEZ-MONTROND";"73300";73
"61365";"SAINT-AUBIN-D'APPENAI";"61170";61
"62060";"AUXI-LE-CHATEAU";"62390";57
"14194";"COURTONNE-LES-DEUX-EGLISES";"14290";15
"61168";"LA FERTE-MACE";"61600";61
"34217";"PRADES-LE-LEZ";"34730";82
"22309";"SAINT-LAUNEUC";"22230";28
"22194";"PLESTIN-LES-GREVES";"22310";28
"40077";"CAUNEILLE";"40300";66
"23029";"LE BOURG-D'HEM";"23220";11
"17283";"PONS";"17800";51
"03278";"TAXAT-SENAT";"03140";31
"60213";"ERMENONVILLE";"60950";70
"61050";"BOISSY-MAUGIS";"61110";61
"71579";"VILLENEUVE-EN-MONTAGNE";"71390";1
"23266";"LA VILLETELLE";"23260";11
"42282";"SAINT-ROMAIN-D'URFE";"42430";3
"76432";"MESNIL-MAUGER";"76440";64
"01034";"BELLEY";"01300";29
"65395";"SAINT-PE-DE-BIGORRE";"65270";5
"73154";"MERCURY";"73200";73
"57682";"TURQUESTEIN-BLANCRUPT";"57560";39
"17365";"SAINT-MARTIN-D'ARY";"17270";51
"17074";"BUSSAC-FORET";"17210";51
"55500";"SPINCOURT";"55230";38
"22331";"SAINTE-TREPHINE";"22480";28
"31297";"LEVIGNAC";"31530";35
"81079";"DENAT";"81120";63
"86173";"MOUTERRE-SILLY";"86200";44
"51275";"GLANNES";"51300";20
"76402";"MALAUNAY";"76770";64
"07231";"SAINT-ETIENNE-DE-FONTBELLON";"07200";19
"23103";"LAFAT";"23800";11
"70236";"FLEUREY-LES-FAVERNEY";"70160";56
"26154";"LACHAU";"26560";52
"85212";"SAINTE-FLORENCE";"85140";81
"30172";"MONOBLET";"30170";76
"56040";"CLEGUER";"56620";71
"07011";"ANTRAIGUES-SUR-VOLANE";"07530";19
"73307";"VALMEINIER";"73450";73
"64428";"ORRIULE";"64390";6
"79015";"ASNIERES-EN-POITOU";"79170";78
"58148";"LUTHENAY-UXELOUP";"58240";68
"42214";"SAINT-CYR-LES-VIGNES";"42210";3
"24465";"SAINT-MICHEL-DE-DOUBLE";"24400";14
"39500";"SALINS-LES-BAINS";"39110";30
"2A018";"ARBELLARA";"20110";77
"66100";"LLO";"66800";27
"32035";"BEAUCAIRE";"32410";32
"79289";"SAINT-PIERRE-DES-ECHAUBROGNES";"79700";78
"55521";"TROYON";"55300";38
"35303";"SAINT-OUEN-LA-ROUERIE";"35460";91
"22199";"PLEUMEUR-GAUTIER";"22740";28
"19005";"ALLASSAC";"19240";79
"24301";"NADAILLAC";"24590";14
"24225";"LAMONZIE-SAINT-MARTIN";"24680";14
"48110";"PAULHAC-EN-MARGERIDE";"48140";88
"44182";"SAINT-MICHEL-CHEF-CHEF";"44730";54
"18048";"LA CHAPELLE-HUGON";"18150";50
"03069";"CHATILLON";"03210";31
"52450";"SAINT-LOUP-SUR-AUJON";"52210";59
"34046";"CAMBON-ET-SALVERGUES";"34330";82
"01085";"LA CHAPELLE-DU-CHATELARD";"01240";29
"01236";"MARSONNAS";"01340";29
"48040";"CHASSERADES";"48250";88
"05126";"ROSANS";"05150";72
"77472";"LA TRETOIRE";"77510";17
"29019";"BREST";"29200";74
"09116";"ESCOSSE";"09100";65
"79265";"SAINT-LEGER-DE-MONTBRUN";"79100";78
"36029";"BUXEUIL";"36150";12
"02450";"MACQUIGNY";"02120";42
"06134";"SERANON";"06750";85
"48080";"LANGOGNE";"48300";88
"06042";"CLANS";"06420";85
"26243";"LE POET-LAVAL";"26160";52
"65382";"SACOUE";"65370";5
"09023";"ASCOU";"09110";65
"86084";"COULONGES";"86290";44
"15004";"ANDELAT";"15100";36
"41161";"NOUAN-LE-FUZELIER";"41600";92
"65319";"MONTEGUT";"65150";5
"74080";"LA CLUSAZ";"74220";24
"05157";"SAINT-VERAN";"05350";72
"52205";"FOULAIN";"52800";59
"49072";"LA CHAPELLE-DU-GENET";"49600";10
"23132";"MONTAIGUT-LE-BLANC";"23320";11
"19129";"MASSERET";"19510";79
"53039";"LE BOURGNEUF-LA-FORET";"53410";22
"09185";"MAZERES";"09270";65
"29151";"MORLAIX";"29600";74
"35271";"SAINT-GEORGES-DE-REINTEMBAULT";"35420";91
"22323";"SAINT-POTAN";"22550";28
"31573";"VERFEIL";"31590";35
"31481";"SAINTE-FOY-DE-PEYROLIERES";"31470";35
"49231";"NUAILLE";"49340";10
"67511";"WALBOURG";"67360";21
"62297";"EPERLECQUES";"62910";57
"22054";"ERQUY";"22430";28
"22277";"SAINT-BRANDAN";"22800";28
"86070";"CHAUVIGNY";"86300";44
"07213";"SAINT-ANDRE-LACHAMP";"07230";19
"33317";"PERISSAC";"33240";13
"38131";"LES COTES-D'AREY";"38138";23
"03041";"LE BRETHON";"03350";31
"03040";"BRESSOLLES";"03000";31
"22131";"LOGUIVY-PLOUGRAS";"22780";28
"47290";"LA SAUVETAT-DU-DROPT";"47800";69
"15174";"SAINT-BONNET-DE-SALERS";"15140";36
"46135";"LABASTIDE-DU-HAUT-MONT";"46210";45
"32042";"BELLOC-SAINT-CLAMENS";"32300";32
"21093";"BOUIX";"21330";2
"44048";"COUFFE";"44521";54
"63405";"SALLEDES";"63270";87
"36171";"REUILLY";"36260";12
"63207";"MARAT";"63480";87
"85248";"SAINT-MARTIN-LARS-EN-SAINTE-HERMINE";"85210";81
"33523";"TARGON";"33760";13
"64349";"LOUBIENG";"64300";6
"80614";"OUTREBOIS";"80600";8
"54396";"NEUFMAISONS";"54540";18
"67283";"MARMOUTIER";"67440";21
"86284";"VERNON";"86340";44
"21692";"VILLECOMTE";"21120";2
"46315";"TEYSSIEU";"46190";45
"70267";"GEVIGNEY-ET-MERCEY";"70500";56
"04018";"BANON";"04150";33
"57192";"ENCHENBERG";"57410";39
"24258";"MARSANEIX";"24750";14
"04208";"SIMIANE-LA-ROTONDE";"04150";33
"72096";"COULANS-SUR-GEE";"72550";7
"16115";"CRESSAC-SAINT-GENIS";"16250";26
"89254";"MEZILLES";"89130";16
"2B307";"SANTA-LUCIA-DI-MORIANI";"20230";75
"15079";"JALEYRAC";"15200";36
"55158";"DOMMARY-BARONCOURT";"55240";38
"66102";"MANTET";"66360";27
"87073";"GORRE";"87310";55
"22349";"TREDREZ-LOCQUEMEAU";"22300";28
"70341";"MENOUX";"70160";56
"53103";"LE GENEST-SAINT-ISLE";"53940";22
"01189";"INJOUX-GENISSIAT";"01200";29
"18018";"AVORD";"18520";50
"14050";"LA BAZOQUE";"14490";15
"54080";"BLENOD-LES-TOUL";"54113";18
"55299";"LOISON";"55230";38
"35142";"LANDEAN";"35133";91
"06107";"ROQUESTERON-GRASSE";"06910";85
"83075";"LES MAYONS";"83340";83
"58291";"THIANGES";"58260";68
"42174";"PONCINS";"42110";3
"23190";"SAINT-DOMET";"23190";11
"19031";"BRIVE-LA-GAILLARDE";"19100";79
"19225";"SAINT-MERD-DE-LAPLEAU";"19320";79
"51513";"SAINT-REMY-EN-BOUZEMONT-SAINT-GENEST-ET-ISSON";"51290";20
"24455";"SAINT-MARTIN-DE-RIBERAC";"24600";14
"21563";"SAINT-MESMIN";"21540";2
"52480";"SONCOURT-SUR-MARNE";"52320";59
"63303";"ROCHE-CHARLES-LA-MAYRAND";"63420";87
"15104";"LEYNHAC";"15600";36
"58103";"DORNECY";"58530";68
"79004";"AIGONNAY";"79370";78
"79343";"VERNOUX-SUR-BOUTONNE";"79170";78
"62552";"MARESQUEL-ECQUEMICOURT";"62990";57
"87051";"LA CROISILLE-SUR-BRIANCE";"87130";55
"31094";"BUZET-SUR-TARN";"31660";35
"55570";"VILLOTTE-SUR-AIRE";"55260";38
"61306";"NEUVILLE-PRES-SEES";"61500";61
"31468";"SAINT-ANDRE";"31420";35
"31079";"BOULOC";"31620";35
"81104";"GIROUSSENS";"81500";63
"62421";"HAVRINCOURT";"62147";57
"05038";"CHATEAU-VILLE-VIEILLE";"05470";72
"72067";"LA CHAPELLE-SAINT-REMY";"72160";7
"23006";"ARRENES";"23210";11
"18112";"IDS-SAINT-ROCH";"18170";50
"01037";"BENONCES";"01470";29
"81047";"CADIX";"81340";63
"77210";"LA GRANDE-PAROISSE";"77130";17
"43174";"SAINT-CHRISTOPHE-SUR-DOLAISON";"43370";34
"79353";"VITRE";"79370";78
"10350";"SAINT-MARDS-EN-OTHE";"10160";53
